ident,superkingdom,phylum,class,order,family,genus,species
SRR1300406,d__Eukaryota,p__Cercozoa,c__Chlorarachniophyceae,,,g__Bigelowiella,s__Bigelowiella longifila
SRR7504389,d__Eukaryota,p__Ciliophora,c__Colpodea,o__Colpodida,f__Colpodidae,g__Colpoda,s__Colpoda magna
SRR8820545,d__Eukaryota,p__Chlorophyta,c__Chlorophyceae,o__Sphaeropleales,f__Selenastraceae,g__Bigelowiella,s__Selenastrum capricornutum
ERR10375933,d__Eukaryota,p__Ciliophora,c__Oligohymenophorea,o__Hymenostomatida,f__Tetrahymenidae,g__Tetrahymena,s__Tetrahymena corlissi
ERR10375938,d__Eukaryota,p__Ciliophora,c__Oligohymenophorea,o__Hymenostomatida,f__Tetrahymenidae,g__Tetrahymena,s__Tetrahymena vorax
